,Specs,Score
0,battery_power,14129.866576478267
1,blue,0.7232323232323232
2,clock_speed,0.6483659057316481
3,dual_sim,0.6310107948969578
4,fc,10.135166492632557
5,four_g,1.5215723873441993
6,int_memory,89.83912439736008
7,m_dep,0.7458196312904846
8,mobile_wt,95.97286255160465
9,n_cores,9.09755558013494
10,pc,9.186053547118439
11,px_height,17363.569535643644
12,px_width,9810.586749824513
13,ram,931267.5190529387
14,sc_h,9.614878316336895
15,sc_w,16.480319056701923
16,talk_time,13.23639996367269
17,three_g,0.3276428102429415
18,touch_screen,1.9284294234592445
19,wifi,0.42209072978303747
